en_label,ja_label,category_en,category_ja,en_description,ja_description,qid
progressive multifocal leukoencephalopathy,進行性多巣性白質脳症,symptom,症状,viral disease affecting human brains,JCウイルスによって発症する脱髄性疾患,Q704930
polyarteritis nodosa,結節性多発動脈炎,symptom,症状,"segmental transmural, necrotizing vasculitis",,Q745162
hypoplastic left heart syndrome,左心低形成症候群,symptom,症状,congenital heart disease characterized by abnormal development of the left-sided structures of the heart,,Q1641399
antiphospholipid syndrome,抗リン脂質抗体症候群,symptom,症状,human disease,,Q582207
hot flash,顔面紅潮,symptom,症状,"sudden flushing, usually in menopausal women, due to reduced levels of estrogen",,Q1858291
chemical burn,化学熱傷,symptom,症状,medical condition,,Q2141836
sadness,悲しみ,symptom,症状,"emotional pain associated with, or characterized by, feelings of disadvantage, loss, despair, grief, helplessness, disappointment and sorrow",負の感情のひとつ,Q169251
angioscotoma,血管暗点,symptom,症状,defect in the visual field caused by a dilated retinal blood vessel,,Q113960268
lymphangioleiomyomatosis,リンパ脈管筋腫症,symptom,症状,rare interstitial and degenerative lung disease,,Q1878759
nasal irritation,鼻の刺激,symptom,症状,,,Q21118859
biliary atresia,胆道閉鎖症,symptom,症状,congenital disorder of digestive system investigation of choice of the disease is MRCP,,Q659033
eosinophilia,好酸球増加症,symptom,症状,Human disease,血液疾患,Q505142
stiff neck,寝違え,symptom,症状,,睡眠中に起こる首の痛みまたは首の硬直,Q21117511
coffee ground vomiting,コーヒー残渣様嘔吐,symptom,症状,medical condition,,Q5140942
respiratory hypersensitivity,呼吸器過敏症,symptom,症状,symptom,,Q21116733
COVID-19,新型コロナウイルス感染症 (2019年),symptom,症状,contagious disease caused by SARS-CoV-2,SARSコロナウイルス2 (SARS-CoV-2) によって引き起こされる人獣共通感染症,Q84263196
psychological trauma,心的外傷,symptom,症状,type of damage to the psyche that occurs as a result of a severely distressing event,ある出来事がきっかけで心に傷を負う状態,Q654426
Sturge–Weber syndrome,スタージー・ウェーバー症候群,symptom,症状,"neurological and skin disorder associated with port-wine stains of the face, glaucoma, seizures, intellectual disability, and cerebral malformations",,Q1886238
spasm,痙攣,symptom,症状,"involuntary contraction of a muscle, organ or orifice",不随意に筋肉が激しく収縮すること,Q574360
strawberry tongue,イチゴ舌,symptom,症状,symptom,,Q4346317
asthenia,無力症,symptom,症状,symptom,筋力が弱くなる症状,Q633403
toxic epidermal necrolysis,中毒性表皮壊死症,symptom,症状,Severe skin reaction,全身の皮膚表皮が真皮と分離して重篤な感染症を招く皮膚障害。スティーブンス・ジョンソン症候群(SJS)と連続した概念。,Q1878682
delusion,妄想,symptom,症状,firm and fixed belief based on inadequate grounding,その文化において共有されない誤った確信,Q189643
dyspnea,呼吸困難,symptom,症状,feelings associated with impaired breathing,,Q188008
Wuhan pneumonia,武漢肺炎,symptom,症状,"name of COVID-19 began with an outbreak in Wuhan city, China",COVID-19の呼称の一つ,Q107028193
upper respiratory irritation,上気道刺激,symptom,症状,symptom,,Q21112293
respiratory irritation,呼吸器の刺激,symptom,症状,symptom,,Q21112283
blurred vision,かすみ目,symptom,症状,"symptom, lack of sharpness of vision resulting in the inability to see fine detail",,Q4930803
focal neurologic sign,前頭葉徴候,symptom,症状,"impairment of nerve, spinal cord, or brain function that affects a specific region of the body",,Q4340622
ring of paleness around the mouth,口の周りの青白い輪,symptom,症状,diagnostic symptom,症状,Q56026208
corticobasal degeneration,大脳皮質基底核変性症,symptom,症状,progressive neurodegenerative condition affecting the cerebral cortex and basal ganglia,,Q1755684
microsleep,マイクロスリープ,symptom,症状,temporary episode of sleep or drowsiness,,Q1192036
eye ulceration,目の潰瘍,symptom,症状,medical condition,,Q21402617
restrictive cardiomyopathy,拘束型心筋症,symptom,症状,"form of cardiomyopathy in which the walls are rigid,and the heart is restricted from stretching and filling with blood properly",,Q2151267
Klippel–Trénaunay–Weber syndrome,クリッペル・トレノネー症候群,symptom,症状,syndrome that is characterized by large cutaneous hemangiomata with hypertrophy of the related bones and soft tissues,,Q1774750
anhedonia,快感消失,symptom,症状,inability to feel pleasure,,Q545365
Bell's phenomenon,ベル現象,symptom,症状,reflex of the eye,,Q2747900
apathy,アパシー,symptom,症状,state of indifference or the suppression of emotions; lack of interest or enthusiasm,感情がなくなった状態,Q309406
erythema,紅斑,symptom,症状,symptom,,Q1166142
pemphigoid,類天疱瘡,symptom,症状,autoimmune blistering diseases,,Q881811
levo-transposition of the great arteries,左旋性大血管転位,symptom,症状,medical condition,,Q1784755
the Truman Show delusion,トゥルーマン・ショー妄想,symptom,症状,"type of delusion in which the person believes that their lives are staged reality shows, or that they are being watched on cameras",,Q633567
motor neuropathy,運動ニューロパチー,symptom,症状,medical condition,,Q21402580
periodic paralysis,周期性四肢麻痺,symptom,症状,human disease,,Q1788314
epidermolysis bullosa,表皮水疱症,symptom,症状,human disease,,Q923020
apraxia,失行,symptom,症状,agnosia that is a loss of the ability to map out physical actions in order to repeat them in functional activities,,Q498916
cri-du-chat syndrome,Cri-du-chat症候群,symptom,症状,human medical condition,,Q752298
evil eye,邪視,symptom,症状,"curse believed to be cast by a malevolent glare, causing many cultures to create measures against it",伝説神話,Q1020115
pure red-cell aplasia,赤芽球癆,symptom,症状,human disease,,Q751631
retinitis pigmentosa,網膜色素変性症,symptom,症状,retinal degeneration characterized by the gradual deterioration of the photoreceptors or the retinal pigment epithelium of the retina leading to progressive sight loss,,Q847057
amok,アモック,symptom,症状,culture-bound syndrome,,Q473814
eosinophilic esophagitis,好酸球性食道炎,symptom,症状,esophagitis characterized by inflammation involving eosinophils located in esophagus,,Q2057356
compulsive behavior,強迫行動,symptom,症状,performing an act persistently and repetitively without it necessarily leading to an actual reward or pleasure,,Q266332
derealization,現実感喪失,symptom,症状,feeling as though the external world is not real,,Q1199997
upper gastrointestinal bleeding,上部消化管出血,symptom,症状,medical condition,,Q3144956
pseudohallucination,偽幻覚,symptom,症状,"involuntary sensory experience vivid enough to be regarded as a hallucination, but recognised by the patient not to be the result of external stimuli",,Q2361468
cenesthopathy,体感症,symptom,症状,aberrant bodily sensation,,Q3919140
reduced affect display,感情鈍麻,symptom,症状,condition of reduced emotional reactivity in an individual,,Q2973381
Behçet's disease,ベーチェット病,symptom,症状,rare immune-mediated small-vessel systemic vasculitis in humans,再発・寛解を繰り返す原因不明の慢性疾患で、自己免疫疾患の一つ,Q911427
self-neglect,セルフネグレクト,symptom,症状,"behavioral condition in which an individual neglects to attend to their basic needs, such as personal hygiene, appropriate clothing, feeding, or tending appropriately to any medical conditions they have",自らの生活に必要な行動を執る気力を喪失し、周囲の人間にも助けを求めない状況にあること,Q2361701
cryopyrin-associated periodic syndrome,クリオピリン関連周期熱症候群,symptom,症状,group of rare autosomal dominant diseases,,Q1771331
spinocerebellar ataxia,脊髄小脳変性症,symptom,症状,"group of dominantly inherited, predominately late-onset, cerebellar ataxias. Neuro-developmental outcome and brain-derived neurotrophic factor level in relation to feeding practice in early infancy.",,Q899726
Jerusalem syndrome,エルサレム症候群,symptom,症状,group of mental phenomena,,Q1124410
melena,メレナ,symptom,症状,medical condition with dark feces that are associated with upper gastrointestinal bleeding,,Q1163908
intermittent fever,間欠熱,symptom,症状,symptom,一日の体温差が1°C以上の変化をとり、37°C以下にまで下がる発熱,Q3073147
distraction,注意散漫,symptom,症状,diversion of attention away from an intended focus,,Q3030775
glutaric aciduria type 1,グルタル酸尿症1型,symptom,症状,Glutaryl-CoA dehydrogenase (GCDH) deficiency (GDD) is an autosomal recessive neurometabolic disorder clinically characterized by encephalopathic crises resulting in striatal injury and a severe dystonic dyskinetic movement disorder,,Q2140501
distractibility,転導性,symptom,症状,psychopathological symptom (difficulty focusing on tasks),精神病理学的症状の一種。気が散りやすいこと,Q21515327
Sinbyeong,巫病,symptom,症状,Korean culture-bound syndrome,,Q17063412
echolalia,反響言語,symptom,症状,speech disorder that involves the automatic repetition of vocalizations made by another person,他者の言葉をそのまま繰り返して真似る行為,Q937353
xerostomia,口腔乾燥症,symptom,症状,medical condition,,Q1162276
earworm,イヤーワーム,symptom,症状,catchy piece of music that continually repeats through a person's mind after it is no longer playing,歌または音楽の一部分が心の中で強迫的に反復される現象,Q555631
eye irritation,目の炎症,symptom,症状,irritation of the eye,,Q11820606
trismus,牙関緊急,symptom,症状,medical problem of jaw clenching,,Q936070
catalepsy,カタレプシー,symptom,症状,"psychomotor symptom of catatonia, abnormal maintenance of postures",受動的にとらされた姿勢を保ち続け、自分の意思で変えようとしない状態,Q918193
Klingsor syndrome,クリングゾル症候群,symptom,症状,medical syndrome,,Q124957451
trauma in the Russian invasion of Ukraine,2022年ロシアのウクライナ侵攻におけるトラウマ,symptom,症状,,,Q119573587
Fetal trimethadione syndrome,胎児トリメタジオン症候群,symptom,症状,medical condition,,Q5445919
savant syndrome,サヴァン症候群,symptom,症状,"psychological disorder that turns people to a megasavant, with a serious mental disorder",自閉症や知的障害の人のうち極稀に見られる、ある特定分野でのみ非常に優れた能力を示す症状,Q467265
colony collapse disorder,蜂群崩壊症候群,symptom,症状,poorly-understood phenomenon causing decline in bee populations,ミツバチが原因不明で大量に失踪する現象,Q497841
intermittent claudication,間欠跛行,symptom,症状,"symptom that describes muscle pain on mild exertion (ache, cramp, numbness or sense of fatigue)",,Q1097957
Frey syndrome,フライ症候群,symptom,症状,human disease,,Q1431371
runny nose,鼻漏,symptom,症状,type of medical symptom where the nasal cavity is filled with fluid mucus,,Q1115038
circulatory collapse,循環虚脱,symptom,症状,"failure of circulation, such as blood flow",,Q5121708
Dorian Gray syndrome,ドリアン・グレイ症候群,symptom,症状,psychic syndrome,,Q1244963
parental alienation syndrome,片親引き離し症候群,symptom,症状,"term to describe a suite of behaviors in children, disputed by some members of the scientific community",,Q1334131
executive disfunction,遂行機能障害,symptom,症状,"difficulty with accessing executive functions such as organization, planning ahead, and self-monitoring",目標設定・そのプロセスの計画・効果的行動が出来なくなる高次脳機能障害の一種,Q5419936
dysentery,赤痢,symptom,症状,inflammation of the intestine causing diarrhea with blood,下痢や血便を主症状とする大腸の感染症,Q129279
distress,苦悩,symptom,症状,difficult state in which a person is unable to completely adapt to stressors and their resulting stress and shows maladaptive behaviors,,Q5283089
psychoorganic syndrome,器質精神症候群,symptom,症状,"disorder characterised by impairment of memory, thought disorders etc., due to diffuse psychoorganic brain damage",,Q7256456
West syndrome,点頭てんかん,symptom,症状,"severe epilepsy syndrome with infantile spasms, hypsarrhythmia and mental retardation",,Q1041258
Agony in the Garden,ゲツセマネの祈り,symptom,症状,episode from the life of Jesus Christ,イエス・キリストがゲツセマネの園で十字架刑に処せられる前夜に祈った祈り,Q2467856
TORCH complex,TORCH症候群,symptom,症状,medical condition,,Q2208086
berserk llama syndrome,ベルセルク・ラマ症候群,symptom,症状,psychological condition suffered by human-raised llamas and alpacas,,Q4894912
phlegm,痰,symptom,症状,liquid secreted by the mucous membranes of mammalians,,Q3746560
mental distress,精神的苦痛,symptom,症状,"range of symptoms and experiences of a person's internal life that are commonly held to be troubling, confusing or out of the ordinary",,Q6817452
heat exhaustion,熱疲労,symptom,症状,caused by the loss of water and electrolytes through sweating,,Q12643772
lamellar ichthyosis,層状魚鱗癬,symptom,症状,disease,,Q3804556
chronic pain,慢性疼痛,symptom,症状,acute pain extending beyond the usual healing process,,Q1088113
cognitive deficit,認知障害,symptom,症状,medical condition,,Q5141203
affluenza,金満病,symptom,症状,negative socio-psychological effects of consumerism,,Q1349829
syndrome of Inappropriate antidiuretic hormone secretion,抗利尿ホルモン不適合分泌症候群,symptom,症状,endocrine disease,症候群の一つ,Q959457
Leaf spot,斑点性病害,symptom,症状,leaf disease caused by fungal pathogen,植物の葉に病斑を形成する病害の総称,Q6508875
pediatric multisystem inflammatory syndrome,小児発症性多系統炎症症候群,symptom,症状,"systemic inflamation in children, connected to COVID-19",小児にみられる重度炎症性疾患の一種,Q93629491
salmon-colored rash,サーモンピンク疹,symptom,症状,,成人Still病において発熱と同時に現れるサーモンピンク色の紅斑。掻痒感はなく、解熱と同時に消退する。,Q29589522
bulimia nervosa,神経性大食症,symptom,症状,eating disorder that is characterized by a cycle of bulimia (binge eating) followed by inappropriate acts such as purging to avert weight gain,過食と、それによる体重増加を避けるための嘔吐などの不適切行為の繰り返しを特徴とする摂食障害・精神疾患,Q64513386
autistic meltdown,自閉症のメルトダウン,symptom,症状,involuntary emotional breakdown in an autistic person caused by severe stress,,Q72423832
autistic burnout,自閉燃え尽き症,symptom,症状,persisting state of exhaustion in autistic people,,Q97365310
emotional lability,気分変動,symptom,症状,medical symptom,,Q28455110
nasake wa hito no tame narazu,情けは人の為ならず,symptom,症状,,日本語のことわざ,Q11492730
lunchmate syndrome,ランチメイト症候群,symptom,症状,fear of eating alone,,Q11347550
infant respiratory distress syndrome,新生児呼吸窮迫症候群,symptom,症状,human disease affecting newborns,,Q754348
SSRI discontinuation syndrome,SSRI離脱症候群,symptom,症状,"condition that can occur following the interruption, dose reduction, or discontinuation of antidepressant drugs, including selective serotonin re-uptake inhibitors (SSRIs) or serotonin–norepinephrine reuptake inhibitors (SNRIs)",,Q175918
insect-inflicted wound,虫刺症,symptom,症状,wound caused by the bite or sting of an insect,,Q368779
false memory syndrome,過誤記憶,symptom,症状,syndrome,,Q195961
Kleine-Levin syndrome,クライン・レビン症候群,symptom,症状,recurrent hypersomnia that is characterized by recurring periods of excessive amounts of sleep and altered behavior,,Q613809
stereotypy,常同行動,symptom,症状,repetitive mechanical repetition of speech or physical activities,,Q1198115
magical thinking,呪術的思考,symptom,症状,"illogical conclusions based on correlated events, or belief that unrelated events are causally connected despite the absence of any plausible causal link between them",,Q136783
Peter Pan syndrome,ピーターパン症候群,symptom,症状,syndrome,「大人という年齢に達しているが精神的に大人になれない男女」を表す概念,Q1077589
rash,皮疹,symptom,症状,skin condition,,Q653197
laryngospasm,喉頭痙攣,symptom,症状,disorder in which the adductor muscles of the vocal cords exhibit increased activity leading to laryngeal spasm,,Q1324592
contracture,拘縮,symptom,症状,"prolonged shortening of the muscle or other soft tissue around a joint, preventing movement of the joint",,Q1480291
tumor lysis syndrome,腫瘍崩壊症候群,symptom,症状,medical condition,,Q998803
cribbing,齰癖,symptom,症状,stable vice in horses,,Q1338862
altitude sickness,高山病,symptom,症状,acute negative health effects from high altitude,,Q624497
idée fixe,観念固着,symptom,症状,an idea that preoccupies an individual and that he is unwilling to give up despite evidence to the contrary,,Q1421961
hepatic encephalopathy,肝性脳症,symptom,症状,"brain disease that is characterized by loss of brain function, the occurrence of confusion, altered level of consciousness, and coma that results when the liver is unable to remove toxins from the blood",,Q642548
mitochondrial disease,ミトコンドリア病,symptom,症状,spontaneously occuring or inherited disorder that involves mitochondrial dysfunction,,Q935710
shock,ショック,symptom,症状,medical condition of insufficient blood flow to the tissues of the body,,Q178061
patulous eustachian tube,耳管開放症,symptom,症状,eustachian tube disorder,,Q1361850
tension headache,緊張性頭痛,symptom,症状,common type of headache classified by The International Classification of Headache Disorders 3rd edition,,Q1338684
myotonia,筋強直症候群,symptom,症状,prolonged contraction of muscles,,Q1277793
highly sensitive person,ハイリー・センシティブ・パーソン,symptom,症状,person with sensory processing sensitivity,高度な感覚処理感受性を気質として持つ人,Q1036653
yawn,あくび,symptom,症状,reflex,眠い時に出る呼吸動作,Q182180
syndrome of Cassandra,カサンドラ(比喩),symptom,症状,metaphor originating from Greek mythology,ギリシア神話を起源とするメタファー,Q2522199
immune dysregulation-polyendocrinopathy-enteropathy-X-linked syndrome,IPEX症候群,symptom,症状,"hypersensitivity reaction type II disease characterized by onset in infancy of refractory diarrhea, endocrinopathies, type 1 diabetes mellitus, and dermatitis that has material basis in mutation in the FOXP3 gene on chromosome Xp11",,Q3508566
wasting,消耗症,symptom,症状,human disease,,Q7972881
Roemheld syndrome,レムヘルト症候群,symptom,症状,medical condition,,Q1638006
hidden hearing loss,隠れ難聴,symptom,症状,"typically undetected hearing loss in conventional tests, affecting the ability to hear sounds in noisy environments or with multiple speakers",,Q3508741
physical dependence,身体的依存,symptom,症状,physical condition caused by chronic use of a tolerance-forming drug,離脱による否定的な身体症状を生じさせる状態,Q2622112
low milk supply,母乳不足,symptom,症状,production of breast milk by a mother that is of insufficient quantity to meet the nutritional needs of her infant,,Q1641325
dominant white,優性白色,symptom,症状,horse coat color and its genetics,,Q2729941
female sexual arousal disorder,冷感症,symptom,症状,persistent or recurrent inability to attain sexual arousal or to maintain arousal until the completion of a sexual activity,,Q3241252
diarrhetic shellfish poisoning,下痢性貝中毒,symptom,症状,syndrome of shellfish poisoning,,Q3026357
Ramsay Hunt syndrome,ラムゼイ・ハント症候群,symptom,症状,unrelated neurological syndromes described by James Ramsay Hunt,ウィキメディアの曖昧さ回避ページ,Q2697371
spoiled child,甘やかされて育てられる,symptom,症状,derogatory term aimed at children who exhibit behavioral problems from being overindulged by their parents or other caregivers,,Q3054155
post-concussion syndrome,脳振盪後症候群,symptom,症状,organic brain syndrome that occurs following head trauma (i.e. concussion),,Q2581333
amnesic shellfish poisoning,記憶喪失性貝中毒,symptom,症状,syndrome of shellfish poisoning,,Q3398781
phantom vibration syndrome,幻想振動症候群,symptom,症状,Perception that one's mobile phone is vibrating or ringing when it is not,スマートフォンなどに着信が無いが、着信があった時のように振動したと錯覚する現象,Q3242773
paralytic shellfish poisoning,麻痺性貝中毒,symptom,症状,syndrome of shellfish poisoning,,Q2283583
mermaiding,マーメイディング,symptom,症状,swimming  wearing a mermaid costume,,Q6819872
medical students' disease,医学生病/病気不安,symptom,症状,"condition in medical students, who perceive themselves to be experiencing the symptoms of a disease that they are studying",,Q3141344
culture-bound syndrome,文化依存症候群,symptom,症状,combination of symptoms that are considered to be a recognizable disease only within a specific culture,,Q1791709
dysorgasmia,オーガズム痛,symptom,症状,pain caused by orgasm,,Q97366766
linear dermatitis,線状皮膚炎,symptom,症状,,,Q109362057
sigmoiditis,S状結腸炎,symptom,症状,,,Q99264637
stroke,脳卒中,symptom,症状,death of a region of brain cells due to poor blood flow,脳を栄養する血管の障害による疾患,Q12202
problem behavior,問題行動,symptom,症状,unwanted habitual activity,,Q51714514
Acute scrotum,急性陰嚢症,symptom,症状,,陰嚢の急性疼痛・腫脹,Q126810878
drug dependence,薬物依存,symptom,症状,dependence on pharmaceutical drugs,,Q3541786
when pigs fly,空飛ぶ豚,symptom,症状,figure of speech describing an impossible event,,Q640434
influenza-like illness,インフルエンザ様症状,symptom,症状,an acute respiratory illness with a measured temperature of 38 °C or greater and cough,,Q3508755
cytokine release syndrome,サイトカイン放出症候群,symptom,症状,bodily reaction,,Q3961647
stapedectomy,アブミ骨切除術,surgery,外科手術,surgical procedure of the middle ear performed to improve hearing,,Q615857
vasectomy,精管切除,surgery,外科手術,surgical procedure for male sterilization,精巣で作られた精子が亀頭先まで流れる精管を切断または縛ることで、精子を含有した精液の放出を遮断する不妊手術,Q690838
computed tomography,コンピュータ断層撮影,surgery,外科手術,medical imaging procedure using X-rays to produce cross-sectional images,放射線を用いて、物体の内部をスライス画像化して観察できるようにする技術,Q32566
Myers-Briggs Type Indicator,MBTI,surgery,外科手術,model of personality types,アメリカで提唱された、類型論に基づくパーソナリティ検査(性格検査）,Q897939
ELISA,ELISA,surgery,外科手術,assay,試料の分析方法,Q332126
Feldenkrais Method,フェルデンクライスメソッド,surgery,外科手術,guild regulated movement education complementary to physical therapy,,Q1402440
pneumonectomy,肺切除,surgery,外科手術,surgical removal of a lung,,Q46565
splenectomy,脾臓摘出術,surgery,外科手術,surgical removal of part or all of a spleen,,Q580383
dual-energy X-ray absorptiometry,二重エネルギーX線吸収測定法,surgery,外科手術,diagnostic test for bone mineral density testing,,Q444351
Magnetic field imaging,磁場画像法,surgery,外科手術,noninvasive and contact-free cardiac diagnostic method,,Q961880
fine-needle aspiration,生検法,surgery,外科手術,"diagnostic procedure to investigate lumps using a thin needle, for histopathology or cytopathology",,Q180071
arthroscopy,関節鏡,surgery,外科手術,medical procedure,,Q708232
hippotherapy,乗馬セラピー,surgery,外科手術,form of therapy in which a therapist uses the characteristic movements of a horse,,Q290912
Wechsler Memory Scale,ウェクスラー記憶検査,surgery,外科手術,comprehensive battery test to assess the capacity of learning and remembering information,,Q473246
apicoectomy,歯根端切除術,surgery,外科手術,surgical removal of the root tip of a tooth,,Q592565
appendectomy,虫垂切除術,surgery,外科手術,surgical removal of the vermiform appendix,,Q620840
radiography,X線撮影,surgery,外科手術,imaging technique using ionizing and non-ionizing radiation,X線を用いて、物体の内部を画像化する技術,Q245341
ophthalmoscopy,眼底検査,surgery,外科手術,"test that allows a health professional to see inside the fundus of the eye and other structures using an ophthalmoscope, crucial in determining the health of the retina, optic disc, and vitreous humor",,Q837188
adrenalectomy,副腎摘出術,surgery,外科手術,surgical removal of the adrenal gland,,Q366774
hysterectomy,子宮摘出術,surgery,外科手術,surgical removal of the uterus,外科的医療処置,Q550675
Baum test,バウムテスト,surgery,外科手術,projective drawing technique developed by Karl Koch,投影法による心理検査のひとつ,Q682553
mastectomy,乳房切除術,surgery,外科手術,surgical removal of one or both breasts,外科的医療処置,Q848318
absolute threshold of hearing,最小可聴値,surgery,外科手術,minimum sound level that an average individual can hear,,Q1504201
gastrectomy,胃切除術,surgery,外科手術,partial or total surgical removal of the stomach,,Q827390
polymerase chain reaction,ポリメラーゼ連鎖反応,surgery,外科手術,in vitro method for producing large amounts of specific DNA or RNA fragments from small amounts of short oligonucleotide primers,DNAサンプルの特定領域を増幅させる反応または技術,Q176996
colectomy,結腸切除術,surgery,外科手術,bowel resection of the colon,,Q1779148
Pap test,パップテスト,surgery,外科手術,screening test used to detect potentially pre-cancerous and cancerous processes in the endocervical canal,,Q942976
Kaufman Assessment Battery for Children,K-ABC,surgery,外科手術,psychological test,,Q1737034
Dissociative Experiences Scale,解離体験尺度,surgery,外科手術,questionnaire to screen for dissociative identity disorder,,Q1229320
house-tree-person test,HTPテスト,surgery,外科手術,"psychological test in which the client is asked to make a drawing that includes a house, a tree and a person, after which the therapist asks several questions about each",心理学のテスト,Q2893010
laminectomy,椎弓切除,surgery,外科手術,surgical procedure that removes a portion of the lamina,,Q1801578
glycemic load,グリセミック負荷,surgery,外科手術,estimate of how much a quantity of food will raise a person's blood glucose level,,Q1929014
Multiple Sleep Latency Test,多睡眠潜伏検査,surgery,外科手術,Diagnostic tool used to diagnose sleep disorders,,Q1664214
Voges-Proskauer test,フォーゲス・プロスカウアー試験,surgery,外科手術,microbiological and biochemical method for identification,,Q74148
orchiectomy,精巣摘除術,surgery,外科手術,surgical removal of one or both testicles,,Q1806228
electrocochleography,蝸電図,surgery,外科手術,"technique of recording electrical potentials generated in the inner ear and auditory nerve in response to sound stimulation, using an electrode placed in the ear canal or tympanic membrane",,Q5357983
Emotional Freedom Techniques,EFT,surgery,外科手術,form of pseudoscientific counseling intervention that stimulates acupressure points while focusing on traumatic situations,,Q223403
Wellness Recovery Action Plan,元気回復行動プラン,surgery,外科手術,therapeutic method and series of self-help books,,Q7981585
ACTH stimulation test,ACTH負荷試験,surgery,外科手術,Medical test to assess adrenal gland function,,Q2888117
Cooper test,クーパーテスト,surgery,外科手術,physical fitness test,,Q909284
Patient Health Questionnaire,患者の健康アンケート,surgery,外科手術,multiple-choice questionnaire used to screen for mental disorders,精神障害のスクリーニングに使用される多肢選択式アンケート,Q1778909
prostatectomy,前立腺切除,surgery,外科手術,surgical removal of all or part of the prostate gland,,Q1765251
oophorectomy,卵巣摘出術,surgery,外科手術,surgical removal of one or both ovaries,外科的医療処置,Q1751597
Da Vinci Surgical System,da Vinci,surgery,外科手術,robotic surgical system,インテュイティヴ・サージカル社が開発したマスタースレイブ型内視鏡下手術用の手術用ロボット,Q2323044
lobotomy,ロボトミー,surgery,外科手術,discontinued neurosurgical operation,外科的侵襲による精神疾患の治療法,Q207684
lymphadenectomy,リンパ節郭清,surgery,外科手術,surgical removal of lymph nodes (often part of breast cancer treatment),外科的治療法の一つ,Q1809305
no observable adverse effect level,無有害作用量,surgery,外科手術,denotes the level of exposure of an organism,,Q1755926
Sally–Anne test,サリーとアン課題,surgery,外科手術,psychological test,,Q1059391
Widal test,ビダール反応,surgery,外科手術,microbiological method using antibodies,腸チフス・パラチフスの診断法,Q1550257
Kastle-Meyer test,カスル・マイヤー試験,surgery,外科手術,Blood test utilizing phenolphthalein,,Q476415
Generalized Anxiety Disorder 7,全般性不安障害7,surgery,外科手術,seven-item anxiety disorder screening instrument,,Q1484539
colon cleansing,大腸洗浄,surgery,外科手術,removal of nonspecific toxins from the colon and intestinal tract considered pseudomedicine,,Q1110546
Golgi's method,ゴルジ染色,surgery,外科手術,silver staining technique for visualizing nervous tissue under light microscopy,,Q2196894
bloodletting,瀉血,surgery,外科手術,"therapy, now rarely used in medicine",血液を排出させる治療法,Q356405
Ayurveda,アーユルヴェーダ,surgery,外科手術,traditional medicine system with historical roots in the Indian subcontinent,インド亜大陸で信じられている似非科学的な民間療法,Q132325
thyroidectomy,甲状腺切除,surgery,外科手術,total or partial removal of the thyroid gland,,Q1351681
magnet therapy,磁気治療器,surgery,外科手術,pseudoscientific alternative medicine practice,,Q1128259
acupuncture,鍼,surgery,外科手術,form of alternative medicine,身体の特定の点を刺激するために専用の鍼を生体に刺入または接触する治療法,Q121713
osteopathy,オステオパシー,surgery,外科手術,type of alternative medicine that emphasizes the physical manipulation of the body's muscle tissue and bones,,Q325253
electroconvulsive therapy,電気けいれん療法,surgery,外科手術,medical procedure,治療法の一つ,Q131543
audiology,聴能学,surgery,外科手術,"branch of science that studies hearing, balance, and related disorders",,Q569965
penectomy,性器切断,surgery,外科手術,surgical removal of penis,,Q967839
Duplex ultrasonography,ドップラー心エコー,surgery,外科手術,Combination of grayscale B-mode sonography and color-coded Doppler sonography,,Q2662381
Bach flowers,バッチフラワー,surgery,外科手術,alternative medicine without scientific evidence,,Q788110
projectional radiography,単純X線撮影,surgery,外科手術,formation of a 2D images using X-rays,,Q3610264
Prism Cover Test,プリズム遮蔽試験,surgery,外科手術,medical diagnostic method,,Q18392706
cell fractionation,細胞分画,surgery,外科手術,cell components,,Q189029
May-Grünwald,パッペンハイム染色,surgery,外科手術,histological procedure,ロマノフスキー染色の一つで、メイ・グリュンワルド染色とギムザ染色の二重染色,Q473449
homeopathy,ホメオパシー,surgery,外科手術,"system of pseudoscientific alternative medicine based on the doctrine of ""like cures like""",「似たものが似たものを治す」という理論による疑似科学的な代替医療,Q81058
Saccharomyces boulardii,サッカロマイセス・ブラウディ,surgery,外科手術,species of fungus,,Q135368
oil pulling,オイルプリング,surgery,外科手術,"alternative medical practice without proven benefit, in which oil is ""swished"" around the mouth",代替医療,Q297078
Holmes and Rahe stress scale,社会的再適応評定尺度,surgery,外科手術,psychological scale,,Q5883637
Panic Disorder Severity Scale,パニック障害重症度尺度,surgery,外科手術,questionnaire for anxiety assessment,,Q7131071
Panic and Agoraphobia Scale,パニック障害・広場恐怖症評価尺度,surgery,外科手術,psychological rating scale,,Q7131084
pancreatectomy,膵切除術,surgery,外科手術,surgical removal of all or part of the pancreas,,Q3361964
neurectomy,神経切断,surgery,外科手術,surgical removal or severing of a nerve,,Q1981185
Liebowitz social anxiety scale,Liebowitz社交不安尺度,surgery,外科手術,,,Q6543919
Hamilton Anxiety Rating Scale,ハミルトン不安尺度,surgery,外科手術,questionnaire to rate anxiety severity,,Q5644839
animal magnetism,動物磁気,surgery,外科手術,purported force in living things,,Q547546
Child Behavior Checklist,子どもの行動チェックリスト,surgery,外科手術,method of identifying problem behavior in children,,Q5097706
Childhood Autism Spectrum Test,幼年期自閉症スペクトラム検査,surgery,外科手術,formerly the Childhood Asperger Syndrome Test,,Q17004912
pangamic acid,パンガミン酸,surgery,外科手術,alleged cure with unclear identity,,Q420405
Iridology,イリドロジー,surgery,外科手術,alternative medicine technique,,Q368718
